kn_ks	region	pop	species
0.214504669479715	WGS	YRI	H. sapiens
0.214826369314949	WGS	YRI	H. sapiens
0.221338875861199	WGS	YRI	H. sapiens
0.21403603705196	WGS	YRI	H. sapiens
0.216497191474967	WGS	YRI	H. sapiens
0.218013720603786	WGS	YRI	H. sapiens
0.218173160188579	WGS	YRI	H. sapiens
0.215032299495058	WGS	YRI	H. sapiens
0.220463346961995	WGS	YRI	H. sapiens
0.217905390980179	WGS	YRI	H. sapiens
0.214652955012667	WGS	YRI	H. sapiens
0.215893927535228	WGS	YRI	H. sapiens
0.218820849114596	WGS	YRI	H. sapiens
0.217368363782906	WGS	YRI	H. sapiens
0.215555321200378	WGS	YRI	H. sapiens
0.214313065473991	WGS	YRI	H. sapiens
0.213923668335415	WGS	YRI	H. sapiens
0.216988447462145	WGS	YRI	H. sapiens
0.217990971016076	WGS	YRI	H. sapiens
0.218194064941734	WGS	YRI	H. sapiens
0.220399451282082	WGS	YRI	H. sapiens
0.216453308112026	WGS	YRI	H. sapiens
0.216712662609041	WGS	YRI	H. sapiens
0.218345442117427	WGS	YRI	H. sapiens
0.218284027433845	WGS	YRI	H. sapiens
0.220788134775407	WGS	YRI	H. sapiens
0.218452373460476	WGS	YRI	H. sapiens
0.21060888944286	WGS	YRI	H. sapiens
0.217299693164726	WGS	YRI	H. sapiens
0.213623129016087	WGS	YRI	H. sapiens
0.220503847304791	WGS	YRI	H. sapiens
0.218056690757802	WGS	YRI	H. sapiens
0.218865951703685	WGS	YRI	H. sapiens
0.217188580345929	WGS	YRI	H. sapiens
0.214435575503264	WGS	YRI	H. sapiens
0.218327438293257	WGS	YRI	H. sapiens
0.219789100390094	WGS	YRI	H. sapiens
0.217521388909832	WGS	YRI	H. sapiens
0.216065559346768	WGS	YRI	H. sapiens
0.216241552908979	WGS	YRI	H. sapiens
0.218000352526598	WGS	YRI	H. sapiens
0.218396882786376	WGS	YRI	H. sapiens
0.213933107121485	WGS	YRI	H. sapiens
0.213194108006691	WGS	YRI	H. sapiens
0.216181474171547	WGS	YRI	H. sapiens
0.217974240998805	WGS	YRI	H. sapiens
0.217510330385966	WGS	YRI	H. sapiens
0.220739035487257	WGS	YRI	H. sapiens
0.21658053181579	WGS	YRI	H. sapiens
0.218268072354614	WGS	YRI	H. sapiens
0.21890848183196	WGS	YRI	H. sapiens
0.219887487446617	WGS	YRI	H. sapiens
0.216030365561888	WGS	YRI	H. sapiens
0.219391123671035	WGS	YRI	H. sapiens
0.216903524851201	WGS	YRI	H. sapiens
0.214448378009601	WGS	YRI	H. sapiens
0.220791204900267	WGS	YRI	H. sapiens
0.2179628949557	WGS	YRI	H. sapiens
0.217885172884894	WGS	YRI	H. sapiens
