pin_pis	region	pop	species
0.23921948989447	WGS	YRI	H. sapiens
0.343609860224229	WGS	YRI	H. sapiens
0.309561743619785	WGS	YRI	H. sapiens
0.295404795084004	WGS	YRI	H. sapiens
0.319254538721582	WGS	YRI	H. sapiens
0.295297250626138	WGS	YRI	H. sapiens
0.357446096907985	WGS	YRI	H. sapiens
0.310905837679681	WGS	YRI	H. sapiens
0.265922010255289	WGS	YRI	H. sapiens
0.296770636643115	WGS	YRI	H. sapiens
0.284318690125133	WGS	YRI	H. sapiens
0.309399399131739	WGS	YRI	H. sapiens
0.254517191859412	WGS	YRI	H. sapiens
0.274647254588458	WGS	YRI	H. sapiens
0.284633477490399	WGS	YRI	H. sapiens
0.286651796784874	WGS	YRI	H. sapiens
0.296248189160969	WGS	YRI	H. sapiens
0.269961224424083	WGS	YRI	H. sapiens
0.283438496407775	WGS	YRI	H. sapiens
0.278585353531918	WGS	YRI	H. sapiens
0.278497705601137	WGS	YRI	H. sapiens
0.265032628182691	WGS	YRI	H. sapiens
0.292475650425658	WGS	YRI	H. sapiens
0.295003366528547	WGS	YRI	H. sapiens
0.280428538568682	WGS	YRI	H. sapiens
0.317310544514459	WGS	YRI	H. sapiens
0.249277690808323	WGS	YRI	H. sapiens
0.276239215604032	WGS	YRI	H. sapiens
0.27317230140699	WGS	YRI	H. sapiens
0.268575809502237	WGS	YRI	H. sapiens
0.294537254383016	WGS	YRI	H. sapiens
0.265724710874491	WGS	YRI	H. sapiens
0.317333263111343	WGS	YRI	H. sapiens
0.28140858088587	WGS	YRI	H. sapiens
0.274818027004094	WGS	YRI	H. sapiens
0.278812492756607	WGS	YRI	H. sapiens
0.309226711674085	WGS	YRI	H. sapiens
0.332418808065981	WGS	YRI	H. sapiens
0.306048156468355	WGS	YRI	H. sapiens
0.301766854613666	WGS	YRI	H. sapiens
0.358958711964649	WGS	YRI	H. sapiens
0.3398568826191	WGS	YRI	H. sapiens
0.324874032070204	WGS	YRI	H. sapiens
0.293942258199017	WGS	YRI	H. sapiens
0.328521020394262	WGS	YRI	H. sapiens
0.31081756912623	WGS	YRI	H. sapiens
0.267636852293931	WGS	YRI	H. sapiens
0.31553509659694	WGS	YRI	H. sapiens
0.289946019504641	WGS	YRI	H. sapiens
0.320532009703399	WGS	YRI	H. sapiens
0.24842950334921	WGS	YRI	H. sapiens
0.290000037180969	WGS	YRI	H. sapiens
0.288437075310627	WGS	YRI	H. sapiens
0.329647058871831	WGS	YRI	H. sapiens
0.271949394321897	WGS	YRI	H. sapiens
0.288363604698841	WGS	YRI	H. sapiens
0.292903444438553	WGS	YRI	H. sapiens
0.295593924488358	WGS	YRI	H. sapiens
0.27534784257045	WGS	YRI	H. sapiens
0.293295256043956	WGS	YRI	H. sapiens
0.243743379257612	WGS	YRI	H. sapiens
0.322265964160669	WGS	YRI	H. sapiens
0.2959366827594	WGS	YRI	H. sapiens
0.292654997840555	WGS	YRI	H. sapiens
0.307203298577992	WGS	YRI	H. sapiens
0.280181424163808	WGS	YRI	H. sapiens
0.276830201164342	WGS	YRI	H. sapiens
0.274482890767658	WGS	YRI	H. sapiens
0.287924601510528	WGS	YRI	H. sapiens
0.276006051658142	WGS	YRI	H. sapiens
0.284854100288653	WGS	YRI	H. sapiens
0.328668110471751	WGS	YRI	H. sapiens
0.301669634520329	WGS	YRI	H. sapiens
0.335779528731524	WGS	YRI	H. sapiens
0.293951818154448	WGS	YRI	H. sapiens
0.270605508648371	WGS	YRI	H. sapiens
0.31042347575981	WGS	YRI	H. sapiens
0.273098183374181	WGS	YRI	H. sapiens
0.26602308517563	WGS	YRI	H. sapiens
0.289020667326023	WGS	YRI	H. sapiens
0.25794359508149	WGS	YRI	H. sapiens
0.288380931137493	WGS	YRI	H. sapiens
0.325770717425259	WGS	YRI	H. sapiens
0.227157501769718	WGS	YRI	H. sapiens
0.307890912634954	WGS	YRI	H. sapiens
0.30406511568562	WGS	YRI	H. sapiens
0.263257256490852	WGS	YRI	H. sapiens
0.292816087136918	WGS	YRI	H. sapiens
0.27506130779142	WGS	YRI	H. sapiens
0.2726552549074	WGS	YRI	H. sapiens
0.285763390155945	WGS	YRI	H. sapiens
0.261677440602429	WGS	YRI	H. sapiens
0.263176535578302	WGS	YRI	H. sapiens
0.263557813643808	WGS	YRI	H. sapiens
0.270213959721139	WGS	YRI	H. sapiens
0.268554828165708	WGS	YRI	H. sapiens
0.291315959225954	WGS	YRI	H. sapiens
0.286745131176965	WGS	YRI	H. sapiens
0.31464431565705	WGS	YRI	H. sapiens
0.283215399945454	WGS	YRI	H. sapiens
0.281608867797498	WGS	YRI	H. sapiens
0.28447589040392	WGS	YRI	H. sapiens
0.308801693724682	WGS	YRI	H. sapiens
0.28227889462888	WGS	YRI	H. sapiens
0.308484345420226	WGS	YRI	H. sapiens
0.2726102697476	WGS	YRI	H. sapiens
0.30188712576981	WGS	YRI	H. sapiens
0.259988208316652	WGS	YRI	H. sapiens
0.284109338734921	WGS	YRI	H. sapiens
0.318385314725352	WGS	YRI	H. sapiens
0.313095439020369	WGS	YRI	H. sapiens
0.231625126580474	WGS	YRI	H. sapiens
0.330914602263582	WGS	YRI	H. sapiens
0.280189512242706	WGS	YRI	H. sapiens
0.277912958768347	WGS	YRI	H. sapiens
0.305543324999149	WGS	YRI	H. sapiens
0.284954485745667	WGS	YRI	H. sapiens
0.290793261263504	WGS	YRI	H. sapiens
0.265733014122975	WGS	YRI	H. sapiens
0.306998723350562	WGS	YRI	H. sapiens
0.332282118724054	WGS	YRI	H. sapiens
0.28130045393407	WGS	YRI	H. sapiens
0.309928922600688	WGS	YRI	H. sapiens
0.288569679416746	WGS	YRI	H. sapiens
0.233855702714432	WGS	YRI	H. sapiens
0.28297830998204	WGS	YRI	H. sapiens
0.328181637814002	WGS	YRI	H. sapiens
0.292796979282072	WGS	YRI	H. sapiens
0.300272330175991	WGS	YRI	H. sapiens
0.269481481760568	WGS	YRI	H. sapiens
0.307497888044796	WGS	YRI	H. sapiens
0.277234934922697	WGS	YRI	H. sapiens
0.290276808683858	WGS	YRI	H. sapiens
0.281378524883366	WGS	YRI	H. sapiens
0.270622777533051	WGS	YRI	H. sapiens
0.367788186776239	WGS	YRI	H. sapiens
0.269353900492834	WGS	YRI	H. sapiens
0.233547104153468	WGS	YRI	H. sapiens
0.277709587875507	WGS	YRI	H. sapiens
0.287161791111585	WGS	YRI	H. sapiens
0.269786591274683	WGS	YRI	H. sapiens
0.308093360897888	WGS	YRI	H. sapiens
0.327834125958817	WGS	YRI	H. sapiens
0.275735097729692	WGS	YRI	H. sapiens
0.304951731243857	WGS	YRI	H. sapiens
0.288752963598658	WGS	YRI	H. sapiens
